City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,betera,39.5833,-0.45,10.47,82,40,1.54,ES,1670134158
293,lahat,-3.8,103.5333,32.97,49,54,1.43,ID,1670134159
294,rincon,32.296,-81.2354,18.81,92,100,1.51,US,1670134159
295,orange cove,36.6244,-119.3137,14.78,100,100,2.06,US,1670134159
296,mayskiy,47.6931,40.1025,-10.33,51,11,7.72,RU,1670134160
297,kununurra,-15.7667,128.7333,39.99,21,66,2.57,AU,1670134160
298,bull savanna,17.8868,-77.5902,23.04,80,7,4.16,JM,1670134161
299,chicama,-7.8447,-79.1469,17.3,86,15,1.78,PE,1670133973
300,uglich,57.5275,38.3317,-12.17,91,89,2.88,RU,1670134161
301,jizan,17.3333,42.6667,27.81,61,0,1.71,SA,1670134162
302,gizo,-8.103,156.8419,28.99,70,84,2.92,SB,1670134162
303,chuguyevka,44.1653,133.8633,-13.92,71,100,5.26,RU,1670134163
304,tiznit,29.5833,-9.5,12.55,64,29,2.16,MA,1670134163
305,te anau,-45.4167,167.7167,11.46,90,100,2.86,NZ,1670134163
306,floro,61.5996,5.0328,0.98,69,20,3.09,NO,1670134163
307,san quintin,30.4833,-115.95,16.55,75,100,1.43,MX,1670133905
308,ishigaki,24.3448,124.1572,25.12,72,54,2.02,JP,1670134164
309,polignano a mare,40.9959,17.2159,14.27,89,100,12.72,IT,1670134164
310,nanortalik,60.1432,-45.2371,-5.13,73,3,4.21,GL,1670134165
311,quatre cocos,-20.2078,57.7625,27.27,67,15,5.22,MU,1670134165
312,wilmington,34.2257,-77.9447,16.95,87,100,2.06,US,1670134165
313,eureka,40.8021,-124.1637,9.0,95,100,1.34,US,1670133872
314,ormara,25.2088,64.6357,24.46,40,0,1.51,PK,1670134166
315,narsaq,60.9167,-46.05,-6.88,66,1,3.37,GL,1670134166
316,ostrovnoy,68.0531,39.5131,-6.74,90,26,4.93,RU,1670134166
317,alice springs,-23.7,133.8833,36.75,9,0,3.09,AU,1670134167
318,megion,61.0296,76.1136,-13.99,100,87,1.66,RU,1670134167
319,severo-kurilsk,50.6789,156.125,-1.99,89,54,16.94,RU,1670134167
320,krasnomayskiy,57.6194,34.4099,-7.96,91,100,3.8,RU,1670134168
321,mehamn,71.0357,27.8492,-5.03,80,34,5.14,NO,1670134169
322,sao miguel do araguaia,-13.275,-50.1628,21.47,92,100,1.99,BR,1670134169
323,pingxiang,27.6167,113.85,6.21,94,100,1.53,CN,1670134169
